Country,Regional Indicator,Population density (people per sq. km of land area),GDP per capita (current US$),"Unemployment, total (% of labour force)",Consumer price index (2010 = 100),Mean years of schooling (years),Life expectancy at birth (years),Healthy life expectancy (HALE) at birth (years),Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Age-standardized suicide rates (per 100 000 population),Gender Development Index (GDI),"Person held per 100,000 population","Carbon dioxide emissions, production emissions per capita (tonnes)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Happiness Index
Latvia,Central and Eastern Europe,31.04428291193837,17146.4987327228,7.548999999999999,113.79016040664068,13.012,75.17,66.24866999999999,6.1,15.831366666666666,1.0346666666666666,184.88336772966667,3.7185,13.4264575158321,54.80246648573327,5.9499998089999995
Lebanon,Middle East and North Africa,669.0938416422288,7818.740458400481,6.198999999999999,125.08493368170099,8.706333333333333,78.87933333333334,65.96324,8.399999999999999,2.76,0.8929999999999999,95.681798273,3.5305,30.621110507606602,13.893450635386133,4.771500111
Lesotho,Sub-Saharan Africa,69.44582784365393,1136.26695674426,23.83666666666667,148.49382251891234,6.443666666666666,53.66066666666666,44.24282,9.114999999999998,92.28126666666668,1.0173333333333332,118.63653055741973,1.2965,28.0286535158261,1.13702239789196,3.6528000830000003
Liberia,Sub-Saharan Africa,50.03659330011076,701.2305138845461,2.9166666666666665,201.85440552573155,4.714,63.70833333333334,54.91364,7.45,7.45,0.8913333333333333,48.68147449600001,0.3215,17.9841124551525,79.7130398671096,4.557899952
Libya,Middle East and North Africa,3.795829402381683,7106.59068892545,18.552666666666667,160.47984670469074,7.573333333333332,72.718,65.21575,6.099285714285715,5.223333333333334,0.971,182.25669342084723,8.02,54.254681793931894,0.123327687918433,5.488800049
Lithuania,Central and Eastern Europe,44.832542027667856,18532.09342886767,6.524000000000001,115.568696953447,12.999666666666668,75.72466666666666,66.68871,6.525,21.5758,1.0296666666666667,228.6132721,4.7755,11.853282358745599,35.092949991869304,6.215499877999999
Luxembourg,Western Europe,250.2451303155003,113445.74216229767,5.489999999999998,113.20562987229636,12.234333333333336,82.10233333333333,71.55128,5.275,8.06,0.9753333333333334,103.39363591866669,15.7365,10.364637400443302,36.5020576131687,7.2375001910000005
Macedonia,Central and Eastern Europe,82.30786412899813,5876.540347588777,20.292,112.28166666666634,9.744666666666667,75.69233333333334,66.14368,6.585,7.2,0.9493333333333333,151.31548009154167,3.5095,29.7269445083568,39.7101506740682,5.1598000530000006
Madagascar,Sub-Saharan Africa,45.14846453535007,520.7429396881003,1.7240000000000002,173.18281242592838,6.115333333333332,66.67733333333335,57.311280000000004,5.15,9.25,0.9496666666666664,88.47369157700001,0.163,22.5422828750867,21.409837286581865,4.165599823
Malawi,Sub-Saharan Africa,192.4839379154293,547.5257064621393,5.660666666666668,380.36241749720335,4.63,63.779,57.059090000000005,9.485,11.097533333333333,0.9453333333333336,80.2505324965,0.076,23.5659214726087,24.6680101824353,3.538000107
Malaysia,Southeast Asia,95.95949576421651,11024.069964610131,3.361333333333333,120.57712603455,10.231,75.99499999999998,65.65654,3.735,5.6400000000000015,0.9713333333333332,196.9492323756666,7.996,16.0358087060705,58.482240146096494,5.384300232
Maldives,South Asia,1714.51,10139.346810797115,5.989333333333334,136.42395558704368,6.885333333333333,78.62400000000002,69.95485,9.22,2.93,0.9226666666666667,373.08772396300003,2.9695,7.795820798900309,2.7333333333333294,5.197599888
Mali,Sub-Saharan Africa,15.639151006537233,867.956493052688,7.221333333333334,109.83826433363869,2.332333333333333,58.885,54.62648000000001,3.99,7.993333333333332,0.8130000000000001,118.63653055741973,0.1865,38.5266061638458,10.896663634352,4.729300021999999
Malta,Western Europe,1517.3864583333332,29703.061993620202,3.73,111.80471133689369,11.300666666666665,82.37566666666667,71.45852,9.08,5.1433333333333335,0.9666666666666668,150.24380722200002,3.639,13.9095433663149,1.3958333333333333,6.772799968999999
Mauritania,Sub-Saharan Africa,4.272692345008246,1667.039442905703,9.529666666666666,131.69340873875998,4.614,64.69933333333334,59.7632,4.54,5.423333333333333,0.8590000000000001,118.63653055741973,0.601,47.4229917763898,0.31409074738850634,4.374599934
Mauritius,Sub-Saharan Africa,623.2556650246307,10930.14038587517,6.694333333333333,128.22026314087034,9.43,74.86533333333334,63.93715,5.775,8.843333333333334,0.9726666666666668,185.95580928450002,3.79,14.457827322358199,19.0591133004926,6.101299762999999
Mexico,Latin America and Caribbean,64.9097005238475,9641.761531454491,3.3760000000000003,136.105658053017,8.656,74.99633333333334,65.75757,5.445,5.513333333333333,0.961,157.73980657233332,3.866,20.9211157874081,33.924541954954236,6.465000152999999
Moldova,Commonwealth of Independent States,94.30735271834652,4077.24843799418,4.183,159.5219525849343,11.611333333333334,71.80833333333334,64.53884000000001,6.805,12.1606,1.0133333333333334,175.46190419566662,1.224,16.2510327081515,11.752411857037664,5.607500076
Mongolia,East Asia,2.0354549512198603,4082.930934453463,6.207999999999998,182.999920222584,10.192666666666666,69.68933333333332,60.285219999999995,3.9,18.603666666666673,1.0193333333333332,146.44892898266667,8.6755,40.112849047047604,9.102554678733547,5.4562001229999995
Montenegro,Central and Eastern Europe,46.260916976456,8513.543447661554,15.376333333333335,115.473621236575,11.521666666666668,76.77233333333334,66.97417,8.42,16.315166666666666,0.9653333333333332,177.025109057,3.215,20.7818135501738,61.486988847583596,5.54610014
Morocco,Middle East and North Africa,80.72455896631563,3164.28231636706,9.094666666666667,110.18955830451166,5.558666666666667,76.45033333333333,63.686080000000004,5.275,7.286666666666666,0.8329999999999999,234.2925644323333,1.815,32.5935414574286,12.820427216371634,5.094799995
Mozambique,Sub-Saharan Africa,37.51835796095187,490.45821945825793,3.262,176.80039100714268,3.5056666666666665,60.10733333333334,50.357409999999994,8.155000000000001,23.156966666666666,0.9066666666666668,63.475142771,0.2805,21.298695459134102,47.304050628618896,4.623600006
Myanmar,Southeast Asia,82.28080546577003,1224.13324260195,1.5406666666666666,155.77768226421531,4.993666666666666,66.85166666666667,60.85162,4.94,3.0066666666666664,0.9543333333333331,160.26774201400002,0.483,35.5574529190767,44.61359702201321,4.308000088
Namibia,Sub-Saharan Africa,2.97402170964464,5321.731147493771,20.574666666666673,152.0998837716223,6.94,63.368,56.05523,8.12,14.158366666666666,1.008,118.63653055741973,1.7515,25.358765398457304,8.236368715762369,4.571100235
Nepal,South Asia,196.11000813858868,1140.6455211741302,1.3843333333333334,179.7673872379773,4.856000000000001,70.47566666666667,61.34199,5.665,9.696666666666667,0.9253333333333332,71.403038978,0.3325,99.7343737198505,41.590722009068706,5.137199879
Netherlands,Western Europe,511.9076725076727,51349.964961925965,3.955,113.294573290752,12.345999999999998,82.14233333333333,71.43514,10.015,9.323333333333332,0.9666666666666668,66.04461840766669,9.5685,12.034408072923698,10.9187209187209,7.448900223
New Zealand,North America and ANZ,18.601015279834897,43018.060513526325,4.356333333333333,112.43753671471,12.712666666666667,82.14566666666667,70.23531,9.115,11.032333333333336,0.9640000000000001,209.59882215566662,7.4955,5.956001129415621,37.435620877799295,7.2996001239999995
Nicaragua,Latin America and Caribbean,53.725134341587726,2033.4771988217199,5.112333333333333,154.77757286654034,6.834666666666667,74.27766666666669,65.46066,8.440000000000001,4.81,1.012,323.532496007,0.8614999999999999,17.614180448958102,29.9778128635533,6.13710022
Niger,Sub-Saharan Africa,17.7247804005158,547.5316278282727,0.4776666666666666,110.10756219564934,2.0196666666666667,62.01433333333333,55.52364,7.495,10.1409,0.7256666666666666,40.330311265,0.10300000000000001,94.05381767742821,0.8719823162548354,4.909599781
Nigeria,Sub-Saharan Africa,215.09694544176895,2075.40086632472,8.242666666666667,240.6288511509903,6.5326666666666675,54.32400000000001,54.39335,3.825,6.96,0.8759999999999999,38.105858843,0.6465000000000001,71.7981743753326,24.104384202378203,4.724100113
Norway,Western Europe,14.549638434733634,77863.5484192587,3.769333333333333,117.512743944741,12.842999999999998,82.27233333333334,71.36238,10.185,10.139,0.9903333333333334,74.8201041185,8.2775,6.95651980294718,33.31681941791709,7.487999916000001
Pakistan,South Asia,275.3129821329737,1411.8985288134697,4.160333333333334,168.03722413107133,5.144333333333333,67.11033333333334,56.86659,3.05,9.846666666666666,0.7386666666666667,39.857169977,1.035,58.2824187715197,4.9405614362806105,5.69329977
Panama,Latin America and Caribbean,56.32127747062646,15488.554177021468,3.8986666666666667,122.0500705448883,10.193333333333333,78.32933333333334,68.6833,7.085,2.9966666666666666,1.0119999999999998,394.934337189,2.5775,11.400054332155399,57.13031834710353,6.304800033999999
Paraguay,Latin America and Caribbean,17.50798389126607,5614.205947951386,4.652666666666668,139.46458225667502,8.478333333333332,74.12433333333333,65.80192,6.65,6.13,0.966,212.28368284799998,1.056,11.909080848817101,41.9353972648712,5.6921000479999995
Peru,Latin America and Caribbean,24.985423437500003,6898.637740204154,3.3866666666666667,127.42325779401101,9.642666666666663,76.51400000000002,69.49625999999999,5.115,2.736666666666667,0.9616666666666666,290.2217300436666,1.7055,24.786728048654,56.77448437500001,5.796800137000001
Philippines,Southeast Asia,357.6717275379817,3286.8989199154635,2.3466666666666667,125.4336341828353,9.382,71.09233333333333,61.99813,4.425000000000002,2.583333333333333,1.0053333333333334,183.7503285363333,1.256,18.069798913274102,23.87501537154417,6.006000042
Poland,Central and Eastern Europe,124.01886808569631,15021.7890361944,4.068666666666666,111.79159943279068,12.353333333333332,78.53733333333334,68.66328,6.445,10.2543,1.0076666666666665,195.06445431433332,8.963999999999997,20.8778222190899,30.89392922468597,6.1862998010000005
Portugal,Western Europe,112.33077817658899,22773.07102772426,7.3980000000000015,110.01419185158069,9.231666666666667,81.854,70.96024,9.37,7.526666666666666,0.986,128.541191496,5.1389999999999985,8.16075224791735,36.154994891142,5.9109001160000005
Romania,Central and Eastern Europe,84.65799287204449,12035.1124190852,4.363333333333333,118.981225929662,11.009,75.92133333333334,66.84969,5.355,7.623333333333332,0.9886666666666668,110.72428380766668,3.8065,14.611340188661098,30.1158292767733,6.123700142000001
Russia,Commonwealth of Independent States,8.820994874681999,11168.445728763767,4.881,173.98044154477034,12.121333333333334,72.36833333333333,64.21381,5.33,23.136,1.008333333333333,386.46139975233336,11.528,16.1602238064949,49.7843360788722,5.546000004
Rwanda,Sub-Saharan Africa,498.71459262261874,792.034480173107,1.0366666666666668,147.956300569408,4.346666666666667,68.687,60.205119999999994,7.2349999999999985,9.53,0.935,509.141170657,0.091,43.2102171630293,11.106607215241167,3.312299967
Saudi Arabia,Middle East and North Africa,15.672409975391801,22426.42728124107,5.952333333333333,119.1203745936353,10.178333333333336,75.00066666666667,64.01756,6.68,5.580000000000001,0.8823333333333333,147.73614611666667,18.78,87.94544667781521,0.45448413492177897,6.406499863
Senegal,Sub-Saharan Africa,82.35952838518669,1416.63977458894,6.582000000000001,107.8283494171847,3.079333333333333,67.66166666666668,59.36618000000001,4.025,11.1733,0.8753333333333333,69.6464416245,0.7364999999999999,40.6958258953758,42.32150833636317,4.980800152
Serbia,Central and Eastern Europe,79.8410587697233,6987.3830451763315,12.965333333333335,141.348700839147,11.170666666666667,75.84433333333334,66.87982,8.385,5.348333333333334,0.9753333333333332,124.05464640133331,5.166,24.7263581904237,31.123103895114003,5.77820015
Sierra Leone,Sub-Saharan Africa,105.99327145100231,517.476221620452,4.448333333333333,204.63565779321,3.6,54.30133333333333,52.91975,16.34,11.129733333333334,0.8816666666666667,59.708598414499995,0.14,21.6259466795766,35.665558326406234,3.926399946
Singapore,Southeast Asia,7971.085096379877,64498.73693321008,4.109333333333334,113.811479603673,11.549333333333333,83.45233333333333,73.55164,4.44,8.22,0.986,207.08400345200002,7.103,19.078256499753397,22.468265162200264,6.377099991000001
Slovakia,Central and Eastern Europe,113.2844564614533,18726.262651798897,6.742666666666668,112.42493116765533,12.646,77.38233333333334,68.53625,6.73,9.43,0.9923333333333332,188.7559750156667,6.6105,17.562911343852697,40.05615640599,6.280600071
Slovenia,Central and Eastern Europe,103.10503303334131,25167.6674296869,5.2890000000000015,109.24086581615366,12.466,81.16933333333333,70.73966,8.245000000000001,13.681633333333332,1.0026666666666666,65.105618428,6.9064999999999985,16.0239799760869,61.67247689154783,6.363399982000001
South Africa,Sub-Saharan Africa,47.63607481720237,6773.59904164809,27.390666666666664,152.53816116435934,10.212333333333332,63.84166666666666,56.153290000000005,8.18,24.57093333333333,0.9833333333333334,280.668619837,8.104,25.102204986367102,14.115102754123766,4.814099789
South Korea,East Asia,528.722003514038,32325.527988008238,3.8986666666666663,114.309553990503,12.204333333333333,82.83466666666666,73.05901999999999,7.335,20.581533333333333,0.935,106.49812665266667,12.7055,25.039425388049104,64.67612739606132,5.872399807000001
South Sudan,Sub-Saharan Africa,17.379896698496033,2015.5339740559054,12.276000000000002,9581.354615458291,4.832666666666666,57.60633333333333,53.65878000000001,7.385,6.583333333333332,0.8410000000000001,118.63653055741973,0.1685,45.577505566415795,11.32555982219107,2.8166000839999996
Spain,Western Europe,93.76085376360113,29335.2180129631,15.479333333333335,109.84251643012834,10.229333333333336,83.43233333333333,72.08695999999999,8.96,5.4766666666666675,0.9823333333333334,125.79816900066663,5.814,9.697927862849529,37.158038096673295,6.4008998870000005
Sri Lanka,South Asia,349.7292577359237,3996.172557866167,4.165666666666667,150.9483269027483,10.612,76.81333333333333,67.04655,3.785,13.268766666666664,0.9436666666666668,97.49134207,1.13,11.0996172423996,34.2526913952643,4.327000141
Swaziland,Sub-Saharan Africa,66.07005813953491,3978.6518779407033,22.327333333333332,161.51582220139497,6.819333333333334,59.30333333333334,50.05663,6.725,41.16536666666666,0.9946666666666668,303.887970683,1.0659999999999998,17.1687873115117,28.787209302325607,4.3081002239999995
Sweden,Western Europe,24.970169322301636,53439.99962014333,6.513333333333333,108.52437457583369,12.466666666666667,82.6566666666667,71.91155,10.845,12.5188,0.9823333333333334,61.979627217666675,4.1795,6.18466509039924,68.6946060739977,7.353499889
Switzerland,Western Europe,215.45221858909733,85025.00435605018,4.697,99.00023672611609,13.288333333333336,83.62766666666667,72.52425,11.89,10.0261,0.9676666666666668,77.20603376300001,4.4195,10.3031001048906,31.94222698990764,7.559899807000001
Tajikistan,Commonwealth of Independent States,65.5718231380743,864.1452185534309,11.14133333333333,201.8637140550439,10.671,70.87533333333333,62.006719999999994,7.235,5.3,0.823,249.26958032430002,0.5914999999999999,46.152185368331295,3.0415255662031337,5.555699825
Tanzania,Sub-Saharan Africa,63.588187702265365,1044.5434026512032,2.001,181.20748490956902,6.0459999999999985,64.98466666666667,58.46004,3.635,8.113333333333333,0.945,118.63653055741973,0.222,29.076640512435603,52.70151275683,3.4762001039999997
Thailand,Southeast Asia,135.88303548709132,7235.90254349465,0.7833333333333333,112.34108197517666,7.813666666666666,76.92133333333334,68.25786,3.81,7.78,1.0006666666666666,543.3001610893333,4.1355,26.2567265583447,39.0397150071444,5.9987998010000005
Togo,Sub-Saharan Africa,145.0630017772873,875.2069158906835,2.081,112.45086136611867,4.841666666666666,60.763000000000005,56.187830000000005,6.095,15.028233333333333,0.8243333333333333,63.938334043000005,0.43200000000000005,35.7313356081261,22.342158485015602,4.187200069
Trinidad and Tobago,Latin America and Caribbean,270.8817413905133,16616.255115053897,2.6306666666666665,141.7496108834907,11.028666666666664,73.37833333333333,66.2278,6.975,8.58,1.0023333333333333,288.33165777,31.3265,24.1085684320503,44.645224171539965,6.1918997760000005
Tunisia,Middle East and North Africa,74.43649588053553,3647.7746940596667,15.62,145.5010606771987,7.188,76.505,66.89014,7.275,3.0933333333333333,0.8993333333333333,194.587105893,2.698,37.6559937453942,4.50354016477858,4.392199993
Turkey,Middle East and North Africa,106.92850157434964,9721.843778048931,11.733000000000002,204.317077727952,8.059666666666667,77.42933333333333,68.4146,4.15,2.283333333333333,0.927,319.17441451433336,5.221500000000002,44.3115256776956,28.46613740801857,5.131800175
Turkmenistan,Commonwealth of Independent States,12.449132849573367,7055.500942360154,3.857333333333333,201.8637140550439,10.109333333333332,68.07300000000001,62.111619999999995,6.77,6.13,0.9674242424242423,528.8947763040001,13.178999999999998,21.767720976212,8.78215904496414,5.119100093999999
Uganda,Sub-Saharan Africa,213.054736019682,772.0057571352008,1.7939999999999998,169.19777310487066,6.029333333333334,62.953,58.207359999999994,6.51,10.345866666666666,0.8663333333333334,121.442877042,0.136,50.4943213226178,12.070649644258268,4.43200016
Ukraine,Commonwealth of Independent States,77.00356394317173,3133.352055189527,9.063666666666665,259.34221146085537,11.405666666666667,71.95433333333334,64.30415,7.574999999999998,17.554100000000002,1.0,126.77271179,5.052,20.3097758188675,16.703871492705535,4.56069994
United Arab Emirates,Middle East and North Africa,135.58949591664336,42395.1862407819,2.3466666666666667,114.869118075394,12.111,77.81033333333333,65.99278000000001,4.1850000000000005,5.01,0.9283333333333332,182.25669342084723,21.2165,40.9175098248731,4.46775556181357,6.790800095
United Kingdom,Western Europe,274.673845051599,42525.068637900265,4.060666666666666,117.3817890389,13.027666666666667,81.24133333333333,70.13490999999999,9.915,7.066666666666666,0.9686666666666666,141.14548665249995,5.7255,10.472690388894199,13.1153639482495,7.164500237
United States,North America and ANZ,35.72192231980896,62817.86772060536,3.9776666666666673,114.93768533444235,13.413000000000002,78.85733333333333,66.11825999999999,16.945,14.338033333333335,0.994,647.2324849776668,16.386000000000006,7.40944166188307,33.8669264120375,6.939599991000001
Uruguay,Latin America and Caribbean,19.707587704262366,18360.923046759635,8.318999999999999,188.60609174730962,8.834333333333333,77.77066666666666,67.50924,9.36,18.739533333333327,1.016,317.411619497,1.9815,9.27488332030728,11.364415495371967,6.440100192999999
Uzbekistan,Commonwealth of Independent States,74.84702825887423,1765.9475983868801,5.8276666666666666,201.8637140550439,11.756333333333332,71.56366666666669,64.68004,5.1850000000000005,8.643333333333333,0.938,249.26958032430002,2.8645,28.455901201855998,8.257518848724766,6.257599831
Venezuela,Latin America and Caribbean,32.804423785499665,8287.383552017835,7.7733333333333325,141.82113954081638,10.312333333333337,72.14466666666667,64.43692,4.89,2.1833333333333336,1.013,194.187701174,5.0150000000000015,17.0085535697031,52.54348392948247,5.053199768
Vietnam,Southeast Asia,308.111834961998,2549.08169405913,2.0196666666666667,158.73941376472862,8.24,75.31933333333333,65.29554,5.925,7.363333333333332,0.998,133.7692223563333,2.0580000000000003,29.6267283386303,46.735543586932,5.353499889
Yemen,Middle East and North Africa,53.97744568820196,861.2050260553059,13.021333333333333,160.47984670469074,3.1333333333333333,66.104,57.53111,6.099285714285715,7.003333333333333,0.4863333333333333,182.25669342084723,0.3595,50.45600689327151,1.0398318086254899,3.5274000169999997
Zambia,Sub-Saharan Africa,23.34636193653397,1452.1886586810967,11.517,195.922758904039,7.104,63.481,54.404090000000004,4.665,15.6663,0.972,134.68085415,0.3025,27.438034758712,60.78970213033086,3.759399891
Zimbabwe,Sub-Saharan Africa,37.32789108612297,1268.85731793123,5.0696666666666665,111.110312095498,8.395666666666665,61.16566666666667,53.06544,5.29,24.4492,0.9283333333333332,137.11841310399998,0.847,22.2516710932407,45.332092542329065,3.2992000580000003
